t_s,v_kmh,grade_pct,P_wheel_kW,fuel_g_per_s,SOC
0.0000,0.2280,0.2524,0.3226,0.0000,0.5500
1.0000,3.7996,0.2525,8.4351,0.0000,0.5497
2.0000,7.5951,0.2527,16.8457,0.0000,0.5492
3.0000,11.3757,0.2531,25.1377,0.0000,0.5485
4.0000,15.1231,0.2536,33.1457,0.0000,0.5475
5.0000,18.8129,0.2542,40.6452,0.0000,0.5464
6.0000,22.4150,0.2549,47.3761,0.0000,0.5450
7.0000,25.8961,0.2557,53.0756,0.0000,0.5435
8.0000,29.2217,0.2564,57.5175,0.0000,0.5419
9.0000,32.3590,0.2572,60.5492,0.0000,0.5401
10.0000,35.2797,0.2578,62.1187,0.0000,0.5383
11.0000,37.9619,0.2584,62.2846,0.0000,0.5365
12.0000,40.2863,0.2589,47.8815,0.0000,0.5348
13.0000,41.5637,0.2592,37.2101,0.0000,0.5336
14.0000,42.5209,0.2593,30.3156,0.0000,0.5326
15.0000,43.2103,0.2592,26.5218,0.0000,0.5317
16.0000,43.6908,0.2590,22.1957,0.0000,0.5310
17.0000,43.7882,0.2586,12.9852,0.0000,0.5305
18.0000,43.8453,0.2581,16.4175,0.0000,0.5300
19.0000,43.9520,0.2574,17.1956,0.0000,0.5295
20.0000,44.0132,0.2566,11.4008,0.0000,0.5290
21.0000,43.9498,0.2556,12.4275,0.0000,0.5286
22.0000,43.8540,0.2546,14.6860,0.0000,0.5282
23.0000,43.9799,0.2534,18.5485,0.0000,0.5277
24.0000,44.0628,0.2522,12.6044,0.0000,0.5272
25.0000,44.2365,0.2509,23.5925,0.0000,0.5266
26.0000,44.5341,0.2495,14.8513,0.0000,0.5260
27.0000,44.5057,0.2481,15.4174,0.0000,0.5256
28.0000,44.5830,0.2467,18.2944,0.0000,0.5251
29.0000,44.7523,0.2452,16.6628,0.0000,0.5245
30.0000,44.9462,0.2437,20.2749,0.0000,0.5239
31.0000,45.3271,0.2422,22.3881,0.0000,0.5232
32.0000,45.4235,0.2407,13.8507,0.0000,0.5227
33.0000,45.4485,0.2393,17.9950,0.0000,0.5222
34.0000,45.5405,0.2379,15.6656,0.0000,0.5217
35.0000,45.5467,0.2365,12.5580,0.0000,0.5212
36.0000,45.5046,0.2352,13.2685,0.0000,0.5208
37.0000,45.3978,0.2340,10.7494,0.0000,0.5204
38.0000,45.3056,0.2329,12.2225,0.0000,0.5200
39.0000,45.1679,0.2318,7.8956,0.0000,0.5196
40.0000,44.9802,0.2309,11.0161,0.0000,0.5193
41.0000,44.7657,0.2301,6.3739,0.0000,0.5190
42.0000,44.5775,0.2295,10.9240,0.0000,0.5186
43.0000,44.5246,0.2289,14.7854,0.0000,0.5182
44.0000,44.7438,0.2285,20.8636,0.0000,0.5176
45.0000,44.9942,0.2283,20.8049,0.0000,0.5170
46.0000,45.2294,0.2281,18.4088,0.0000,0.5164
47.0000,45.5302,0.2282,20.1446,0.0000,0.5157
48.0000,45.6152,0.2284,14.7420,0.0000,0.5152
49.0000,45.5239,0.2288,12.8760,0.0000,0.5148
50.0000,45.4879,0.2294,14.1008,0.0000,0.5144
51.0000,45.4109,0.2301,9.8934,0.0000,0.5140
52.0000,45.2296,0.2310,12.3160,0.0000,0.5136
53.0000,45.2102,0.2321,16.7134,0.0000,0.5132
54.0000,45.2574,0.2333,11.5858,0.0000,0.5127
55.0000,45.1726,0.2348,15.6956,0.0000,0.5123
56.0000,44.3082,0.2364,-63.1950,0.0000,0.5124
57.0000,41.0291,0.2381,-59.1259,0.0000,0.5137
58.0000,37.7501,0.2398,-54.9157,0.0000,0.5149
59.0000,34.4710,0.2415,-50.5761,0.0000,0.5160
60.0000,31.1920,0.2431,-46.1188,0.0000,0.5170
61.0000,27.9129,0.2446,-41.5550,0.0000,0.5179
62.0000,24.6339,0.2460,-36.8964,0.0000,0.5187
63.0000,21.3548,0.2473,-32.1540,0.0000,0.5194
64.0000,18.0758,0.2485,-27.3393,0.0000,0.5200
65.0000,14.7967,0.2494,-22.4633,0.0000,0.5205
66.0000,11.5177,0.2502,-17.5374,0.0000,0.5208
67.0000,8.2386,0.2508,-12.5724,0.0000,0.5211
68.0000,4.9831,0.2512,-7.0067,0.0000,0.5212
69.0000,2.7334,0.2515,-1.7857,0.0000,0.5211
70.0000,1.5089,0.2516,-0.4042,0.0000,0.5211
71.0000,0.8329,0.2517,-0.0459,0.0000,0.5210
72.0000,0.4597,0.2517,0.0287,0.0000,0.5210
73.0000,0.2538,0.2517,0.0323,0.0000,0.5209
74.0000,0.0000,0.2517,0.0000,0.0000,0.5209
75.0000,0.0000,0.2517,0.0000,0.0000,0.5208
76.0000,0.0000,0.2517,0.0000,0.0000,0.5208
77.0000,0.0000,0.2517,0.0000,0.0000,0.5207
78.0000,0.0000,0.2517,0.0000,0.0000,0.5206
79.0000,0.0000,0.2517,0.0000,0.0000,0.5206
80.0000,0.0000,0.2517,0.0000,0.0000,0.5205
81.0000,0.0000,0.2517,0.0000,0.0000,0.5205
82.0000,0.0000,0.2517,0.0000,0.0000,0.5204
83.0000,0.0000,0.2517,0.0000,0.0000,0.5204
84.0000,0.0000,0.2517,0.0000,0.0000,0.5203
85.0000,0.0000,0.2517,0.0000,0.0000,0.5203
86.0000,0.0000,0.2517,0.0000,0.0000,0.5202
87.0000,0.0000,0.2517,0.0000,0.0000,0.5202
88.0000,0.0000,0.2517,0.0000,0.0000,0.5201
89.0000,0.0000,0.2517,0.0000,0.0000,0.5201
90.0000,0.0000,0.2517,0.0000,0.0000,0.5200
91.0000,0.0000,0.2517,0.0000,0.0000,0.5200
92.0000,0.0000,0.2517,0.0000,0.0000,0.5199
93.0000,0.0000,0.2517,0.0000,0.0000,0.5199
94.0000,1.3497,0.2518,2.6919,0.0000,0.5198
95.0000,4.7232,0.2519,9.4183,0.0000,0.5195
96.0000,8.0899,0.2524,16.1008,0.0000,0.5190
